start_time_utc,end_time_utc,phase,env,build_id,duration_seconds,exit_code,flags,log_path
2025-12-25T12:22:06Z,2025-12-25T12:35:06Z,dev,20250115-03,780,0,logs/build-timings/dev-20250115-03-20251225T122206Z.log
2025-12-25T13:29:35Z,2025-12-25T13:29:35Z,bootstrap,dev,20250115-02,0,255,"ENV_NAME=dev NODE_INSTANCE_TYPE=t3.small SKIP_ARGO_SYNC_WAIT=true SKIP_CERT_MANAGER_VALIDATION=true COMPACT_OUTPUT=false SCALE_DOWN_AFTER_BOOTSTRAP=true",logs/build-timings/bootstrap-dev-20250115-02-20251225T132935Z.log
2025-12-25T13:36:49Z,2025-12-25T13:36:50Z,bootstrap,dev,20250115-03,1,255,"ENV_NAME=dev NODE_INSTANCE_TYPE=t3.small SKIP_ARGO_SYNC_WAIT=true SKIP_CERT_MANAGER_VALIDATION=true COMPACT_OUTPUT=false SCALE_DOWN_AFTER_BOOTSTRAP=true",logs/build-timings/bootstrap-dev-20250115-03-20251225T133649Z.log
2025-12-25T13:37:56Z,2025-12-25T13:37:56Z,bootstrap,dev,20250115-04,0,255,"ENV_NAME=dev NODE_INSTANCE_TYPE=t3.small SKIP_ARGO_SYNC_WAIT=true SKIP_CERT_MANAGER_VALIDATION=true COMPACT_OUTPUT=false SCALE_DOWN_AFTER_BOOTSTRAP=true",logs/build-timings/bootstrap-dev-20250115-04-20251225T133756Z.log
2025-12-25T13:38:37Z,2025-12-25T13:40:52Z,bootstrap,dev,20250115-04,135,1,"ENV_NAME=dev NODE_INSTANCE_TYPE=t3.small SKIP_ARGO_SYNC_WAIT=true SKIP_CERT_MANAGER_VALIDATION=true COMPACT_OUTPUT=false SCALE_DOWN_AFTER_BOOTSTRAP=true",logs/build-timings/bootstrap-dev-20250115-04-20251225T133837Z.log
2025-12-25T14:02:22Z,2025-12-25T14:02:34Z,bootstrap,dev,20250115-04,12,1,"ENV_NAME=dev NODE_INSTANCE_TYPE=t3.small SKIP_ARGO_SYNC_WAIT=true SKIP_CERT_MANAGER_VALIDATION=true COMPACT_OUTPUT=false SCALE_DOWN_AFTER_BOOTSTRAP=true",logs/build-timings/bootstrap-dev-20250115-04-20251225T140222Z.log
2025-12-25T14:41:39Z,2025-12-25T14:49:29Z,teardown,dev,20250115-04,470,0,,logs/build-timings/teardown-dev-20250115-04-20251225T144139Z.log
2025-12-25T14:49:41Z,2025-12-25T14:50:15Z,teardown,dev,20250115-04,34,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T144941Z.log
2025-12-25T14:58:58Z,2025-12-25T14:59:32Z,teardown,dev,20250115-04,34,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T145858Z.log
2025-12-25T15:11:45Z,2025-12-25T15:12:19Z,teardown,dev,20250115-04,34,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T151145Z.log
2025-12-25T15:22:12Z,2025-12-25T15:22:47Z,teardown,dev,20250115-04,35,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T152212Z.log
2025-12-25T15:22:59Z,2025-12-25T15:23:34Z,teardown,dev,20250115-04,35,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T152259Z.log
2025-12-25T15:28:56Z,2025-12-25T15:29:00Z,teardown,dev,20250115-04,4,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T152856Z.log
2025-12-25T15:31:12Z,2025-12-25T15:31:52Z,teardown,dev,20250115-04,40,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T153112Z.log
2025-12-25T15:48:42Z,2025-12-25T15:50:53Z,teardown,dev,20250115-04,131,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-20250115-04-20250115-04-20251225T154842Z.log
